grid_id,Passiflora foetida,Acraea terpsicore,n_species
1625,1,0,1
2603,0,2,1
2754,0,6,1
3055,0,1,1
3199,0,1,1
3205,0,1,1
3359,3,0,1
3669,1,0,1
3670,1,0,1
3818,0,1,1
3983,2,4,2
4139,0,1,1
4141,3,1,2
4296,0,2,1
4297,0,2,1
4298,2,1,2
4299,4,0,1
4454,1,0,1
4455,2,0,1
4456,3,1,2
4457,3,3,2
4613,1,0,1
4614,9,2,2
4615,6,6,2
4616,5,0,1
4771,1,0,1
4773,31,0,1
4774,7,3,2
4775,34,43,2
4776,42,9,2
4777,1,0,1
4934,0,1,1
4935,0,1,1
4937,6,2,2
4938,8,0,1
4939,3,0,1
4940,1,0,1
5100,4,4,2
5101,5,2,2
5102,1,0,1
5264,2,0,1
5265,15,2,2
5266,1,0,1
5428,1,0,1
5429,3,14,2
5430,1,0,1
5591,0,1,1
5593,4,1,2
5594,3,0,1
5739,0,1,1
5755,2,0,1
5756,1,0,1
5917,1,0,1
5918,4,2,2
6079,1,0,1
6080,4,3,2
6081,2,2,2
6239,1,0,1
6241,1,1,2
6243,5,3,2
6244,3,3,2
6245,2,0,1
6246,1,0,1
6404,0,1,1
6407,3,0,1
6408,27,1,2
6410,2,0,1
6556,0,1,1
6570,1,1,2
6574,1,0,1
6725,0,2,1
6734,1,0,1
6735,6,2,2
6736,9,1,2
6881,1,1,2
6899,2,0,1
7054,0,1,1
7058,0,1,1
7210,1,0,1
7214,1,0,1
7217,0,1,1
7218,9,0,1
7363,0,1,1
7371,1,0,1
7372,0,1,1
7375,3,0,1
7377,1,0,1
7529,1,0,1
7533,8,2,2
7534,2,0,1
7679,0,1,1
7691,2,0,1
7835,0,1,1
7836,0,1,1
7840,1,0,1
7841,0,1,1
7845,1,0,1
7993,1,2,2
7994,1,0,1
7995,0,1,1
7997,1,0,1
8003,0,2,1
8004,4,0,1
8005,3,0,1
8120,0,1,1
8137,0,1,1
8141,0,1,1
8142,0,3,1
8158,0,1,1
8159,2,0,1
8160,4,0,1
8245,0,1,1
8288,0,1,1
8303,1,2,2
8309,0,1,1
8313,1,0,1
8463,0,1,1
8466,1,0,1
8619,1,0,1
8754,0,1,1
8765,0,1,1
8766,0,1,1
8770,2,4,2
8893,0,4,1
8897,1,0,1
8899,0,1,1
8908,0,1,1
8920,2,0,1
8930,1,0,1
9052,1,1,2
9060,1,2,2
9065,0,1,1
9185,0,1,1
9192,0,2,1
9196,0,2,1
9197,0,3,1
9198,0,1,1
9208,0,1,1
9210,0,2,1
9345,0,1,1
9350,0,1,1
9351,0,1,1
9352,0,2,1
9355,0,1,1
9480,0,1,1
9488,0,3,1
9495,1,3,2
9498,2,10,2
9500,1,0,1
9618,1,1,2
9631,0,1,1
9632,0,1,1
9633,2,4,2
9635,0,4,1
9636,2,2,2
9640,1,0,1
9769,0,1,1
9881,0,2,1
9897,0,1,1
9899,0,2,1
9996,0,1,1
10022,1,1,2
10023,1,0,1
